"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Azeerbaijani","aze","azj","‘rough’","no","Google","40.5","48.5","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Basque","eus","eus","‘rough’","yes","Google","43","-3","Basque","NA","Europe","W and SW Eurasia","6.2","TRUE","mixed with trill","TRUE","FALSE","‘rough’"
"Haitian Creole","hat","hat","‘rough’","no","Google","19","-72.5","Haitian Creole","NA","Mesoamerica","C America","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Hebrew","heb","heb","‘rough’","no","Google","31.5","34.83","Semitic","West Semitic","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no rhotic","FALSE","FALSE","‘rough’"
"Georgian","kat","kat","‘rough’","yes","Google","42","44","Kartvelian","Georgian-Zan","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Mongolian","mon","khk","‘rough’","yes","Google","49","117","Mongolic","NA","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Malay","mly","zsm","‘rough’","yes","Google","3","102","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Maltese","mlt","mlt","‘rough’","yes","Google","35.92","14.42","Semitic","West Semitic","Europe","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Sundanese","sun","sun","‘rough’","no","Google","-7","107","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Tagalog (Filipino)","tgl","tgl","‘rough’","no","Google","15","121","Austronesian","Malayo-Polynesian","Oceania","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Uzbek","uzb","uzn","‘rough’","no","Google","39","66","Turkic","Common Turkic","Inner Asia","N-C Asia","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Vietnamese","vie","vie","‘rough’","no","Google","10.5","106.5","Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","no rhotic","FALSE","FALSE","‘rough’"
"Pitta-Pitta","pit","pit","‘rough’","yes","Chirila","-23.8703274273523","139.675188702705","Pama-Nyungan","Karnic","S Australia","Australia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Wangkayutyuru","wnm","wnm","‘rough’","no","Chirila","-24.002308760426","138.810669515572","Pama-Nyungan","Karnic","S Australia","Australia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Ritharrngu","rit","rit","‘rough’","yes","Chirila","-13.0913471605575","136.03842412434","Pama-Nyungan","Yolngu","N Australia","Australia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Woiwurrung","wyi","wyi","‘rough’","yes","Chirila","-37.6426450056995","145.587996182057","Pama-Nyungan","Kulinic","S Australia","Australia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Yugambeh","yub","yub","‘rough’","yes","Chirila","-28.4374","153.301","Pama-Nyungan","Bandjalangic","S Australia","Australia","6.2","TRUE","NA","TRUE","TRUE","‘rough’"
"Buwandik","xbg","xbg","‘rough’","yes","Chirila","-37.6929879399335","141.315638178586","Pama-Nyungan","Kulinic","S Australia","Australia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Wulguru","qgu","qgu","‘rough’","no","Chirila","-19.851031211527","146.34539568745","Pama-Nyungan","Dyirbalic","S Australia","Australia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Awabakal","awk","awk","‘rough’","yes","Chirila","-32.9394247205618","151.5694547967","Pama-Nyungan","Central NSW","S Australia","Australia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Bidjara-Gungabula","gyy","gyy","‘rough’","yes","Chirila","-25.5430434048749","147.835573303012","Pama-Nyungan","Maric","S Australia","Australia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Jiwarli","djl","djl","‘rough’","yes","Chirila","-23.403034004481","115.133961851332","Pama-Nyungan","Southwestern Pama-Nyungan","S Australia","Australia","6.2","TRUE","NA","FALSE","TRUE","‘rough’"
"Jiwarli","djl","djl","‘rough’","yes","Chirila","-23.403034004481","115.133961851332","Pama-Nyungan","Southwestern Pama-Nyungan","S Australia","Australia","6.2","TRUE","NA","FALSE","TRUE","‘rough’"
"Yidiny","yii","yii","‘rough’","yes","Chirila","-17.1159442218031","145.773681359603","Pama-Nyungan","Yidinyic","N Australia","Australia","6.2","TRUE","mixed with trill","TRUE","FALSE","‘rough’"
"Yidiny","yii","yii","‘rough’","yes","Chirila","-17.1159442218031","145.773681359603","Pama-Nyungan","Yidinyic","N Australia","Australia","6.2","TRUE","mixed with trill","TRUE","FALSE","‘rough’"
"Warrnambool","gjm","gjm","‘rough’","no","Chirila","-38.345","142.4608","Pama-Nyungan","Kulinic","S Australia","Australia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Warrnambool","gjm","gjm","‘rough’","no","Chirila","-38.345","142.4608","Pama-Nyungan","Kulinic","S Australia","Australia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Warrnambool","gjm","gjm","‘rough’","no","Chirila","-38.345","142.4608","Pama-Nyungan","Kulinic","S Australia","Australia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Yuwaaliyaay","kld","kld","‘rough’","yes","Chirila","-29.8429112214478","149.806501013693","Pama-Nyungan","Wiraduric","S Australia","Australia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Gamilaraay","kld","kld","‘rough’","yes","Chirila","-29.9168654809437","149.617231883002","Pama-Nyungan","Wiraduric","S Australia","Australia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Yuwaalaraay","kld","kld","‘rough’","yes","Chirila","-29.8530224320966","147.929111513221","Pama-Nyungan","Wiraduric","S Australia","Australia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Guugu-Yimidhirr","kky","kky","‘rough’","no","Chirila","-15.1606104905737","144.990484849693","Pama-Nyungan","Guugu Yimidhirr","N Australia","Australia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Gupapuyngu","guf","guf","‘rough’","yes","Chirila","-12.7172575311146","135.881905548684","Pama-Nyungan","Yolngu","N Australia","Australia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Burarra","bvr","bvr","‘rough’","no","Chirila","-12.0233468453427","134.719514799426","Burraran","NA","N Australia","Australia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Bandjalang","bdy","bdy","‘rough’","yes","Chirila","-28.7053972377963","152.988993861286","Pama-Nyungan","Bandjalangic","S Australia","Australia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Bandjalang","bdy","bdy","‘rough’","yes","Chirila","-28.7053972377963","152.988993861286","Pama-Nyungan","Bandjalangic","S Australia","Australia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Yugambeh","yub","yub","‘rough’","yes","Chirila","-28.4374","153.301","Pama-Nyungan","Bandjalangic","S Australia","Australia","6.2","TRUE","NA","TRUE","TRUE","‘rough’"
"Gamilaraay","kld","kld","‘rough’","yes","Chirila","-29.9168654809437","149.617231883002","Pama-Nyungan","Wiraduric","S Australia","Australia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Gbaya","gbp","gbp","‘rough’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Gbaya","gbp","gbp","‘rough’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Gbaya","gbp","gbp","‘rough’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Gbaya","gbp","gbp","‘rough’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Gbaya","gbp","gbp","‘rough’","yes","Reflex","5","15","Adamawa-Ubangi","NA","African Savannah","Africa","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Maʼdi","mhi","mhi","‘rough’","yes","Reflex","3.25","31.5","Eastern Central Sudanic","Moru-Madi","S Africa","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Maʼdi","mhi","mhi","‘rough’","yes","Reflex","3.25","31.5","Eastern Central Sudanic","Moru-Madi","S Africa","Africa","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Timne","tem","tem","‘rough’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Timne","tem","tem","‘rough’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Timne","tem","tem","‘rough’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Timne","tem","tem","‘rough’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Timne","tem","tem","‘rough’","yes","Reflex","8.67","-13.08","South Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kabiyè","kbp","kbp","‘rough’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kabiyè","kbp","kbp","‘rough’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kabiyè","kbp","kbp","‘rough’","yes","Reflex","9.67","1.17","Gur","South Gur","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Chepang","cdm","cdm","‘rough’","yes","CLICS","27.7206","84.9017","Sino-Tibetan","Remnant Himalayish","Indic","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Gurung","ggn; gvr","NA","‘rough’","yes","CLICS","27.41687","86.28988","Sino-Tibetan","Bodic","Indic","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Khaling","klr","NA","‘rough’","yes","CLICS","27.3912","87.5053","Sino-Tibetan","Kiranti","Indic","S/SE Asia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Magar","mgp","NA","‘rough’","no","CLICS","28.83","83.59","Sino-Tibetan","Remnant Himalayish","Indic","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Sunwar","suz","NA","‘rough’","yes","CLICS","27.5201","86.2476","Sino-Tibetan","Kiranti","Indic","S/SE Asia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Tamang (Sahu)","taj","taj","‘rough’","yes","CLICS","28.0239","85.0563","Sino-Tibetan","Bodic","Indic","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Bangime","dba","NA","‘rough’","no","CLICS","14.8","-3.76","Bangime","NA","African Savannah","Africa","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Fulfulde","ffm","ffm","‘rough’","yes","CLICS","14.8","-3.84","North Atlantic","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Jamsay","djm","djm","‘rough’","yes","CLICS","14.64","-3.1","Dogon","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Togo_Kan","dtm","NA","‘rough’","no","CLICS","14.16","-3.38","Dogon","NA","African Savannah","Africa","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Tommo_So","dto","NA","‘rough’","no","CLICS","14.67","-3.51","Dogon","NA","African Savannah","Africa","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Songhai_Kiini","khq","khq","‘rough’","yes","CLICS","15.21","-2.75","Songhai","NA","African Savannah","Africa","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Andi","ani","NA","‘rough’","yes","CLICS","42.8078","46.2919","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Akhvakh (Northern dialect)","akv","NA","‘rough’","yes","CLICS","42.4003","46.3037","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Karata","kpt","NA","‘rough’","yes","CLICS","42.6501","46.3151","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Khwarshi (Khwarshi dialect)","khv","NA","‘rough’","yes","CLICS","42.25","46.17","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Hinuq","gin","NA","‘rough’","yes","CLICS","42.4502","45.8064","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Hinuq","gin","NA","‘rough’","yes","CLICS","42.4502","45.8064","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Chamalal","cji","NA","‘rough’","yes","CLICS","42.5024","45.995","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Chamalal","cji","NA","‘rough’","yes","CLICS","42.5024","45.995","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Chamalal","cji","NA","‘rough’","yes","CLICS","42.5024","45.995","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Hunzib","huz","NA","‘rough’","yes","CLICS","42.0808","46.1369","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Hunzib","huz","NA","‘rough’","yes","CLICS","42.0808","46.1369","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Lak","lbe","lbe","‘rough’","yes","CLICS","42.1328","47.0809","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Dargwa","dar","NA","‘rough’","yes","CLICS","42.4257","47.4388","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Aghul","agx","NA","‘rough’","yes","CLICS","41.9242","47.5843","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Lezgian","lez","NA","‘rough’","yes","CLICS","41.5157","47.8951","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Rutul","rut","rut","‘rough’","yes","CLICS","41.6187","47.3244","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Rutul","rut","rut","‘rough’","yes","CLICS","41.6187","47.3244","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Tabasaran (Southern dialect)","tab","NA","‘rough’","yes","CLICS","41.83","47.92","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Tabasaran (Southern dialect)","tab","NA","‘rough’","yes","CLICS","41.83","47.92","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Tabasaran (Southern dialect)","tab","NA","‘rough’","yes","CLICS","41.83","47.92","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Khinalug","kjj","NA","‘rough’","yes","CLICS","41.1801","48.0571","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Khinalug","kjj","NA","‘rough’","yes","CLICS","41.1801","48.0571","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Khinalug","kjj","NA","‘rough’","yes","CLICS","41.1801","48.0571","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Tsakhur","tkr","NA","‘rough’","yes","CLICS","41.5916","46.8858","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kumyk","kum","NA","‘rough’","yes","CLICS","43","47","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Kumyk","kum","NA","‘rough’","yes","CLICS","43","47","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Chechen","che","che","‘rough’","yes","CLICS","43.5","45.5","Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Chechen","che","che","‘rough’","yes","CLICS","43.5","45.5","Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Udi","udi","NA","‘rough’","yes","CLICS","40.9","47.7236","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Avar","ava","ava","‘rough’","no","CLICS","41.7047","46.558","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Avar","ava","ava","‘rough’","no","CLICS","41.7047","46.558","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Erzya Mordvin","myv","myv","‘rough’","yes","CLICS","52.8548","45.3901","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
"Estonian","est","est","‘rough’","yes","CLICS","58.55","25.82","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Estonian","est","est","‘rough’","yes","CLICS","58.55","25.82","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Finnish","fin","fin","‘rough’","yes","CLICS","64.7628","25.5577","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Finnish","fin","fin","‘rough’","yes","CLICS","64.7628","25.5577","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Komi","kpv","kpv","‘rough’","yes","CLICS","64.0527","54.946","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Northern Saami","sme","sma","‘rough’","yes","CLICS","68.725","22.1113","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Mari","mhr","mhr","‘rough’","no","CLICS","55.8307","48.405","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Nenets","yrk","yrk","‘rough’","yes","CLICS","66.1775","71.0234","Uralic","Samoyedic","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Nenets","yrk","yrk","‘rough’","yes","CLICS","66.1775","71.0234","Uralic","Samoyedic","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Udmurt","udm","udm","‘rough’","yes","CLICS","56.12921","52.63548","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Udmurt","udm","udm","‘rough’","yes","CLICS","56.12921","52.63548","Uralic","Finno-Ugric","Inner Asia","N-C Asia","6.2","TRUE","NA","TRUE","FALSE","‘rough’"
"Bezhta","kap","NA","‘rough’","yes","CLICS","42.1206","46.0332","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Bezhta","kap","NA","‘rough’","yes","CLICS","42.1206","46.0332","Nakh-Daghestanian","Daghestanian","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Panare","pbh","pbh","‘rough’","no","CLICS","6.95035","-65.8483","Cariban","NA","NE South America","S America","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Wai Wai","waw","waw","‘rough’","no","CLICS","1.50881","-59.1417","Cariban","NA","NE South America","S America","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Jamaican Creole (Limonese Creole dialect)","jam","jam","‘rough’","no","CLICS","18.13","-77.2612","Jamaican Creole","NA","Mesoamerica","C America","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Polci","plj","plj","‘rough’","yes","CLICS","10.0258","9.53362","Chadic","West Chadic","African Savannah","Africa","6.2","TRUE","NA","FALSE","FALSE","‘rough’"
